asset,event,ts,n_sig,n_fill,ev_best1,best1_filled,ev_gapw,ev_eqw,ev_raw_gapw,hit_gapw
BTC,2025-11-11,1762398000,2,0,,False,,,,
BTC,2025-11-11,1762549200,1,1,-0.4240755380846443,True,-0.4240755380846443,-0.4240755380846443,-0.46,0.0
BTC,2025-11-16,1762982100,1,0,,False,,,,
BTC,2025-11-17,1762891200,1,0,,False,,,,
BTC,2025-11-17,1763074800,1,1,0.014737996971067147,True,0.014737996971067147,0.014737996971067147,-0.47000000000000003,0.0
BTC,2025-11-18,1762935300,1,0,,False,,,,
BTC,2025-11-18,1763024400,1,1,0.4137988991294892,True,0.4137988991294892,0.4137988991294892,-0.15000000000000002,0.0
BTC,2025-11-18,1763138700,1,0,,False,,,,
BTC,2025-11-19,1762977600,1,0,,False,,,,
BTC,2025-11-20,1763075700,2,0,,False,,,,
BTC,2025-11-20,1763175600,1,0,,False,,,,
BTC,2025-11-20,1763305200,2,2,-0.040030429037248405,True,0.048681638985494644,0.05584755813986089,-0.5259791986589197,0.0
BTC,2025-11-21,1763460900,1,1,-0.3361161154654516,True,-0.3361161154654516,-0.3361161154654516,-0.74,0.0
BTC,2025-11-22,1763504100,2,0,,False,,,,
BTC,2025-11-23,1763504100,1,0,,False,,,,
BTC,2025-11-23,1763658000,1,1,0.24873834396432948,True,0.24873834396432948,0.24873834396432948,0.17600000000000005,1.0
BTC,2025-11-24,1763504100,3,2,,False,-0.11686770187601847,-0.12679182637810252,-0.46554984295517254,0.0
BTC,2025-11-24,1763647200,1,1,-0.5067478399159289,True,-0.5067478399159289,-0.5067478399159289,-0.78,0.0
BTC,2025-11-24,1763733600,2,2,-0.3856743499829157,True,0.0036259532206493472,0.02761231424049848,0.1950436292012569,0.47098096418750807
BTC,2025-11-25,1763504100,1,0,,False,,,,
BTC,2025-11-25,1763595900,1,0,,False,,,,
BTC,2025-11-25,1763698500,1,1,0.2874444186474584,True,0.2874444186474584,0.2874444186474584,0.39,1.0
BTC,2025-11-25,1763788500,1,0,,False,,,,
BTC,2025-11-26,1763658000,1,1,0.249868978929494,True,0.249868978929494,0.249868978929494,0.25,1.0
BTC,2025-11-26,1763746200,1,1,-0.46321024425269863,True,-0.46321024425269863,-0.46321024425269863,-0.31,0.0
BTC,2025-11-26,1763838000,2,1,,False,0.35192597275908793,0.35192597275908793,0.61,1.0
BTC,2025-11-27,1763660700,4,0,,False,,,,
BTC,2025-11-27,1763766000,1,0,,False,,,,
BTC,2025-11-27,1763860500,1,0,,False,,,,
BTC,2025-11-27,1763949600,1,0,,False,,,,
BTC,2025-11-28,1764081000,3,1,0.24033272846639392,True,0.24033272846639392,0.24033272846639392,0.61,1.0
BTC,2025-11-29,1764108000,1,0,,False,,,,
BTC,2025-11-30,1764101700,1,1,-0.3493231589023488,True,-0.3493231589023488,-0.3493231589023488,-0.12,0.0
BTC,2025-11-30,1764188100,2,0,,False,,,,
BTC,2025-12-01,1764192600,1,0,,False,,,,
BTC,2025-12-01,1764320400,1,1,0.5243891573231516,True,0.5243891573231516,0.5243891573231516,-0.44,0.0
BTC,2025-12-02,1764109800,2,0,,False,,,,
BTC,2025-12-02,1764196200,4,0,,False,,,,
BTC,2025-12-02,1764328500,3,0,,False,,,,
BTC,2025-12-02,1764418500,1,1,0.16680802999907576,True,0.16680802999907576,0.16680802999907576,0.18999999999999995,1.0
BTC,2025-12-03,1764179100,1,0,,False,,,,
BTC,2025-12-03,1764320400,1,0,,False,,,,
BTC,2025-12-03,1764406800,1,0,,False,,,,
BTC,2025-12-03,1764514800,2,0,,False,,,,
BTC,2025-12-04,1764281700,1,1,0.49114669559859075,True,0.49114669559859075,0.49114669559859075,0.5700000000000001,1.0
BTC,2025-12-04,1764460800,1,0,,False,,,,
BTC,2025-12-04,1764549000,1,1,-0.017922120386132445,True,-0.017922120386132445,-0.017922120386132445,0.30000000000000004,1.0
BTC,2025-12-05,1764663300,1,0,,False,,,,
BTC,2025-12-06,1764705600,1,1,-0.13018771168165827,True,-0.13018771168165827,-0.13018771168165827,-0.301,0.0
BTC,2025-12-07,1764707400,1,0,,False,,,,
BTC,2025-12-07,1764793800,2,0,,False,,,,
BTC,2025-12-08,1764705600,1,1,-0.3439535960549479,True,-0.3439535960549479,-0.3439535960549479,-0.48,0.0
BTC,2025-12-08,1764792900,1,0,,False,,,,
BTC,2025-12-08,1764892800,1,0,,False,,,,
BTC,2025-12-09,1764705600,1,0,,False,,,,
BTC,2025-12-09,1764792000,3,2,,False,0.04428229961542528,0.0500988256176097,0.10358432975601264,0.4831166572526648
BTC,2025-12-09,1764892800,6,0,,False,,,,
BTC,2025-12-10,1764788400,1,0,,False,,,,
BTC,2025-12-10,1764892800,4,0,,False,,,,
BTC,2025-12-10,1764979200,2,0,,False,,,,
BTC,2025-12-10,1765117800,1,0,,False,,,,
BTC,2025-12-11,1764892800,4,0,,False,,,,
BTC,2025-12-11,1765123200,1,1,-0.3122633583176288,True,-0.3122633583176288,-0.3122633583176288,-0.3,0.0
BTC,2025-12-13,1765311300,2,2,0.04096098567347059,True,0.003616709467023964,0.002927278773748501,-0.22873112161650394,0.0
BTC,2025-12-15,1765310400,1,1,0.17453996306087366,True,0.17453996306087366,0.17453996306087366,-0.11199999999999999,0.0
BTC,2025-12-15,1765396800,1,1,0.2061598960612189,True,0.2061598960612189,0.2061598960612189,-0.23,0.0
BTC,2025-12-15,1765530000,1,1,0.20272072475857128,True,0.20272072475857128,0.20272072475857128,-0.55,0.0
BTC,2025-12-16,1765310400,2,0,,False,,,,
BTC,2025-12-16,1765396800,1,1,-0.1757234863316693,True,-0.1757234863316693,-0.1757234863316693,-0.56,0.0
BTC,2025-12-16,1765497600,1,1,-0.08392788283547292,True,-0.08392788283547292,-0.08392788283547292,-0.54,0.0
BTC,2025-12-16,1765607400,1,1,-0.004823311784276807,True,-0.004823311784276807,-0.004823311784276807,-0.29000000000000004,0.0
BTC,2025-12-17,1765389600,1,1,-0.3135662713715808,True,-0.3135662713715808,-0.3135662713715808,-0.64,0.0
BTC,2025-12-17,1765487700,1,0,,False,,,,
BTC,2025-12-17,1765613700,1,0,,False,,,,
BTC,2025-12-17,1765712700,1,0,,False,,,,
BTC,2025-12-18,1765482300,1,0,,False,,,,
BTC,2025-12-18,1765592100,1,0,,False,,,,
BTC,2025-12-18,1765733400,1,1,-0.4852931088246503,True,-0.4852931088246503,-0.4852931088246503,-0.56,0.0
BTC,2025-12-19,1765881900,1,1,0.16328066248324796,True,0.16328066248324796,0.16328066248324796,0.21999999999999997,1.0
BTC,2025-12-20,1765921500,1,0,,False,,,,
